chart,age,age_units,gender,measure,measure_units,L,M,S
fenton_2013,22.5,weeks,m,weight,g,0.662594393,533,0.136886896
fenton_2013,22.57142857,weeks,m,weight,g,0.674935082,538.3337779,0.138140129
fenton_2013,22.71428571,weeks,m,weight,g,0.699593492,549.0177618,0.140644177
fenton_2013,22.85714286,weeks,m,weight,g,0.724182997,559.7510299,0.143140967
fenton_2013,23,weeks,m,weight,g,0.748657661,570.5664382,0.145625661
fenton_2013,23.14285714,weeks,m,weight,g,0.772971548,581.4968429,0.148093421
fenton_2013,23.28571429,weeks,m,weight,g,0.79707872,592.5751,0.150539409
fenton_2013,23.42857143,weeks,m,weight,g,0.820933241,603.8340656,0.152958785
fenton_2013,23.57142857,weeks,m,weight,g,0.844490044,615.3057615,0.155346804
fenton_2013,23.71428571,weeks,m,weight,g,0.867724081,627.0030181,0.157700826
fenton_2013,23.85714286,weeks,m,weight,g,0.890630316,638.9194745,0.160020323
fenton_2013,24,weeks,m,weight,g,0.913204586,651.0479355,0.162304854
fenton_2013,24.14285714,weeks,m,weight,g,0.935442726,663.3812059,0.164553982
fenton_2013,24.28571429,weeks,m,weight,g,0.957340574,675.9120904,0.166767268
fenton_2013,24.42857143,weeks,m,weight,g,0.978893964,688.6333938,0.168944273
fenton_2013,24.57142857,weeks,m,weight,g,1.000098501,701.5381445,0.171084535
fenton_2013,24.71428571,weeks,m,weight,g,1.020944423,714.6245131,0.173187025
fenton_2013,24.85714286,weeks,m,weight,g,1.041416607,727.8958124,0.17525015
fenton_2013,25,weeks,m,weight,g,1.061499696,741.355579,0.177272293
fenton_2013,25.14285714,weeks,m,weight,g,1.081178334,755.0073494,0.179251836
fenton_2013,25.28571429,weeks,m,weight,g,1.100437163,768.85466,0.181187162
fenton_2013,25.42857143,weeks,m,weight,g,1.119260827,782.9010474,0.183076654
fenton_2013,25.57142857,weeks,m,weight,g,1.137634031,797.1501597,0.1849187
fenton_2013,25.71428571,weeks,m,weight,g,1.155542919,811.608214,0.186711841
fenton_2013,25.85714286,weeks,m,weight,g,1.172975069,826.2839963,0.188454768
fenton_2013,26,weeks,m,weight,g,1.189918125,841.1864045,0.190146181
fenton_2013,26.14285714,weeks,m,weight,g,1.206359728,856.3243362,0.191784777
fenton_2013,26.28571429,weeks,m,weight,g,1.222287521,871.7066891,0.193369256
fenton_2013,26.42857143,weeks,m,weight,g,1.237689147,887.342361,0.194898314
fenton_2013,26.57142857,weeks,m,weight,g,1.25255223,903.2402656,0.19637065
fenton_2013,26.71428571,weeks,m,weight,g,1.266864012,919.409686,0.197784919
fenton_2013,26.85714286,weeks,m,weight,g,1.280611348,935.8602743,0.199139736
fenton_2013,27,weeks,m,weight,g,1.293781076,952.6016988,0.200433715
fenton_2013,27.14285714,weeks,m,weight,g,1.306360035,969.6436276,0.201665471
fenton_2013,27.28571429,weeks,m,weight,g,1.318335064,986.9957291,0.202833617
fenton_2013,27.42857143,weeks,m,weight,g,1.329693002,1004.667671,0.203936766
fenton_2013,27.57142857,weeks,m,weight,g,1.340420691,1022.669118,0.204973533
fenton_2013,27.71428571,weeks,m,weight,g,1.350505079,1041.009635,0.205942544
fenton_2013,27.85714286,weeks,m,weight,g,1.359933215,1059.698688,0.206842433
